mode,trial,seed,samples,snps,block_size,blocks,active_blocks,skipped_blocks,latency_ms,protected_blocks,speedup_vs_deterministic_pct,mae_vs_det,mean_signed_vs_det,pearson_vs_det,top_decile_agreement,mae_vs_plain,pearson_vs_plain,keep_prob
product_coupled,0,1,50,10001,64,157,150,7,7.905640849400e+04,140,1.976889781290e+01,3.618752479034e-02,-1.729066867646e-02,9.930185551056e-01,1.000000000000e+00,3.618752472083e-02,9.930185551109e-01,6.000000000000e-01
product_coupled,1,2,50,10001,64,157,150,7,7.842601547700e+04,140,2.040865779604e+01,3.598473969031e-02,1.604235995013e-02,9.924085412469e-01,1.000000000000e+00,3.598473969876e-02,9.924085412525e-01,6.000000000000e-01
product_coupled,2,3,50,10001,64,157,153,4,8.145189321000e+04,140,1.733781875558e+01,3.744502241340e-02,-7.290076120384e-04,9.934690739073e-01,1.000000000000e+00,3.744502239655e-02,9.934690739101e-01,6.000000000000e-01
product_coupled,3,4,50,10001,64,157,148,9,7.710933277900e+04,140,2.174490499097e+01,3.837869752409e-02,-7.064841005036e-03,9.911267356595e-01,1.000000000000e+00,3.837869749401e-02,9.911267356653e-01,6.000000000000e-01
product_coupled,4,5,50,10001,64,157,150,7,8.001039151100e+04,140,1.880073962839e+01,4.360274948835e-02,-3.038106187781e-03,9.899353409517e-01,8.000000000000e-01,4.360274946256e-02,9.899353409598e-01,6.000000000000e-01
product_coupled,0,6,50,10001,64,157,150,7,7.871169506900e+04,140,2.056386651950e+01,3.802293313236e-02,2.549012303035e-03,9.922214021706e-01,1.000000000000e+00,3.802293311748e-02,9.922214021703e-01,6.000000000000e-01
product_coupled,1,7,50,10001,64,157,152,5,7.958161741500e+04,140,1.968593767380e+01,4.597924578700e-02,3.757788091448e-03,9.877048948532e-01,1.000000000000e+00,4.597924578085e-02,9.877048948622e-01,6.000000000000e-01
product_coupled,2,8,50,10001,64,157,150,7,7.952334934200e+04,140,1.974474202836e+01,4.677154526495e-02,-2.463398846809e-02,9.895805575619e-01,8.000000000000e-01,4.677154528603e-02,9.895805575572e-01,6.000000000000e-01
product_coupled,3,9,50,10001,64,157,153,4,8.141584153000e+04,140,1.783483192002e+01,5.096535038668e-02,4.789689862237e-02,9.933084139270e-01,1.000000000000e+00,5.096535034771e-02,9.933084139241e-01,6.000000000000e-01
product_coupled,4,10,50,10001,64,157,151,6,7.959326493800e+04,140,1.967418295056e+01,5.129374915650e-02,-2.962572356329e-02,9.893649939832e-01,1.000000000000e+00,5.129374916511e-02,9.893649939871e-01,6.000000000000e-01
product_coupled,0,11,50,10001,64,157,147,10,7.680408926500e+04,140,2.178741057416e+01,5.905947146030e-02,-1.981598561067e-03,9.807650646402e-01,1.000000000000e+00,5.905947147947e-02,9.807650646269e-01,6.000000000000e-01
product_coupled,1,12,50,10001,64,157,150,7,7.713717047300e+04,140,2.144822103339e+01,4.009036606340e-02,-5.499628175300e-03,9.914874641458e-01,1.000000000000e+00,4.009036607963e-02,9.914874641419e-01,6.000000000000e-01
product_coupled,2,13,50,10001,64,157,147,10,7.603471024700e+04,140,2.257089913347e+01,4.007624707785e-02,1.448890983629e-02,9.918520656658e-01,1.000000000000e+00,4.007624704426e-02,9.918520656779e-01,6.000000000000e-01
product_coupled,3,14,50,10001,64,157,153,4,8.030817956000e+04,140,1.821905922494e+01,5.304533436897e-02,5.250018796561e-02,9.964276756478e-01,8.000000000000e-01,5.304533433384e-02,9.964276756507e-01,6.000000000000e-01
product_coupled,4,15,50,10001,64,157,148,9,7.673098472200e+04,140,2.186185577182e+01,5.399618928576e-02,-3.566311209777e-02,9.888098341151e-01,1.000000000000e+00,5.399618929606e-02,9.888098341142e-01,6.000000000000e-01
product_coupled,5,16,50,10001,64,157,150,7,7.822071747600e+04,140,2.034480300344e+01,4.513621888682e-02,-3.064530482284e-02,9.911508825285e-01,1.000000000000e+00,4.513621890859e-02,9.911508825256e-01,6.000000000000e-01
product_coupled,6,17,50,10001,64,157,151,6,7.879673387300e+04,140,1.975822311697e+01,3.957463899905e-02,-2.326153647346e-02,9.927298750430e-01,1.000000000000e+00,3.957463904278e-02,9.927298750407e-01,6.000000000000e-01
product_coupled,7,18,50,10001,64,157,153,4,8.016035212900e+04,140,1.836959764389e+01,3.416908832718e-02,6.890295834538e-03,9.934752241995e-01,1.000000000000e+00,3.416908832131e-02,9.934752241952e-01,6.000000000000e-01
product_coupled,8,19,50,10001,64,157,150,7,7.651933748200e+04,140,2.207738438291e+01,3.451342527232e-02,2.062121661834e-02,9.944267793020e-01,8.000000000000e-01,3.451342524606e-02,9.944267793075e-01,6.000000000000e-01
product_coupled,9,20,50,10001,64,157,144,13,7.333090360800e+04,140,2.532429052925e+01,5.669485461624e-02,-3.354535651173e-02,9.865843838762e-01,1.000000000000e+00,5.669485462539e-02,9.865843838770e-01,6.000000000000e-01
product_coupled,10,21,50,10001,64,157,149,8,7.632813856500e+04,140,2.227208967188e+01,4.823782398779e-02,-2.937180292066e-02,9.898385204567e-01,1.000000000000e+00,4.823782397551e-02,9.898385204636e-01,6.000000000000e-01
product_coupled,11,22,50,10001,64,157,149,8,7.630724057500e+04,140,2.229337090738e+01,4.458250473114e-02,-8.415140653874e-04,9.893531304846e-01,8.000000000000e-01,4.458250468622e-02,9.893531304929e-01,6.000000000000e-01
product_coupled,12,23,50,10001,64,157,149,8,7.583699616600e+04,140,2.277223906718e+01,3.859127136614e-02,1.340165629269e-02,9.919978204523e-01,8.000000000000e-01,3.859127135792e-02,9.919978204501e-01,6.000000000000e-01
product_coupled,13,24,50,10001,64,157,151,6,7.592245207100e+04,140,2.268521599750e+01,4.480622636640e-02,-4.913016608239e-03,9.889671806582e-01,8.000000000000e-01,4.480622638849e-02,9.889671806525e-01,6.000000000000e-01
product_coupled,14,25,50,10001,64,157,151,6,7.650820486600e+04,140,2.208872115850e+01,4.171357631400e-02,1.123618658767e-02,9.918833731909e-01,1.000000000000e+00,4.171357633409e-02,9.918833731807e-01,6.000000000000e-01
product_coupled,15,26,50,10001,64,157,150,7,7.679281450000e+04,140,2.179889210560e+01,3.724380779774e-02,1.789177483641e-03,9.928123800531e-01,1.000000000000e+00,3.724380779863e-02,9.928123800452e-01,6.000000000000e-01
product_coupled,16,27,50,10001,64,157,151,6,7.716785782000e+04,140,2.141697091514e+01,3.021496597238e-02,-6.973732341669e-03,9.948969550083e-01,1.000000000000e+00,3.021496599815e-02,9.948969550049e-01,6.000000000000e-01
product_coupled,17,28,50,10001,64,157,149,8,7.738431774600e+04,140,2.119654135883e+01,6.691641421997e-02,5.952395294235e-02,9.897483244712e-01,8.000000000000e-01,6.691641416174e-02,9.897483244682e-01,6.000000000000e-01
product_coupled,18,29,50,10001,64,157,151,6,7.819064069800e+04,140,2.037543135554e+01,3.750657633548e-02,1.029754649580e-02,9.926791087639e-01,8.000000000000e-01,3.750657629485e-02,9.926791087689e-01,6.000000000000e-01
product_coupled,19,30,50,10001,64,157,150,7,7.504886496000e+04,140,2.357482370842e+01,4.929282909325e-02,-1.604492213542e-02,9.888272809719e-01,1.000000000000e+00,4.929282906056e-02,9.888272809841e-01,6.000000000000e-01
product_coupled,20,31,50,10001,64,157,149,8,7.504006504200e+04,140,2.358378500697e+01,6.489626227775e-02,-4.455633807756e-02,9.853856915841e-01,1.000000000000e+00,6.489626231127e-02,9.853856915749e-01,6.000000000000e-01
product_coupled,21,32,50,10001,64,157,149,8,7.587760784900e+04,140,2.273088261183e+01,5.460019400599e-02,4.706684360069e-03,9.818396227416e-01,1.000000000000e+00,5.460019403139e-02,9.818396227390e-01,6.000000000000e-01
product_coupled,22,33,50,10001,64,157,146,11,7.469067680300e+04,140,2.393958063124e+01,4.384042009015e-02,-8.518588175039e-04,9.888875898493e-01,1.000000000000e+00,4.384042007370e-02,9.888875898500e-01,6.000000000000e-01
product_coupled,23,34,50,10001,64,157,149,8,7.758301658900e+04,140,2.099419860371e+01,5.236271197329e-02,2.628349451860e-02,9.882843500833e-01,6.000000000000e-01,5.236271196409e-02,9.882843500766e-01,6.000000000000e-01
product_coupled,24,35,50,10001,64,157,147,10,7.585309013200e+04,140,2.275584995604e+01,5.726101318719e-02,5.062487872547e-02,9.908312103604e-01,1.000000000000e+00,5.726101313762e-02,9.908312103633e-01,6.000000000000e-01
product_coupled,25,36,50,10001,64,157,147,10,7.497140011100e+04,140,2.365370917517e+01,5.305878671935e-02,-1.599067364768e-02,9.834322581052e-01,1.000000000000e+00,5.305878674379e-02,9.834322580951e-01,6.000000000000e-01
product_coupled,26,37,50,10001,64,157,151,6,7.720229038800e+04,140,2.138190689278e+01,3.201989918572e-02,-5.390178196478e-03,9.938871213092e-01,1.000000000000e+00,3.201989915879e-02,9.938871213149e-01,6.000000000000e-01
product_coupled,27,38,50,10001,64,157,145,12,7.384838407100e+04,140,2.479732005963e+01,6.692134027402e-02,5.288985176466e-02,9.862712735091e-01,8.000000000000e-01,6.692134023152e-02,9.862712735100e-01,6.000000000000e-01
product_coupled,28,39,50,10001,64,157,151,6,7.700958518400e+04,140,2.157814609234e+01,3.965973049414e-02,-2.038797786871e-02,9.931714867265e-01,1.000000000000e+00,3.965973051594e-02,9.931714867260e-01,6.000000000000e-01
