seed,speedup_pct,skipped_blocks,pearson_vs_det,top_decile_agreement,mae_vs_det,mean_signed_vs_det
1,1.976889781290e+01,7,9.930185551056e-01,1.000000000000e+00,3.618752479034e-02,-1.729066867646e-02
2,2.040865779604e+01,7,9.924085412469e-01,1.000000000000e+00,3.598473969031e-02,1.604235995013e-02
3,1.733781875558e+01,4,9.934690739073e-01,1.000000000000e+00,3.744502241340e-02,-7.290076120384e-04
4,2.174490499097e+01,9,9.911267356595e-01,1.000000000000e+00,3.837869752409e-02,-7.064841005036e-03
5,1.880073962839e+01,7,9.899353409517e-01,8.000000000000e-01,4.360274948835e-02,-3.038106187781e-03
6,2.056386651950e+01,7,9.922214021706e-01,1.000000000000e+00,3.802293313236e-02,2.549012303035e-03
7,1.968593767380e+01,5,9.877048948532e-01,1.000000000000e+00,4.597924578700e-02,3.757788091448e-03
8,1.974474202836e+01,7,9.895805575619e-01,8.000000000000e-01,4.677154526495e-02,-2.463398846809e-02
9,1.783483192002e+01,4,9.933084139270e-01,1.000000000000e+00,5.096535038668e-02,4.789689862237e-02
10,1.967418295056e+01,6,9.893649939832e-01,1.000000000000e+00,5.129374915650e-02,-2.962572356329e-02
11,2.178741057416e+01,10,9.807650646402e-01,1.000000000000e+00,5.905947146030e-02,-1.981598561067e-03
12,2.144822103339e+01,7,9.914874641458e-01,1.000000000000e+00,4.009036606340e-02,-5.499628175300e-03
13,2.257089913347e+01,10,9.918520656658e-01,1.000000000000e+00,4.007624707785e-02,1.448890983629e-02
14,1.821905922494e+01,4,9.964276756478e-01,8.000000000000e-01,5.304533436897e-02,5.250018796561e-02
15,2.186185577182e+01,9,9.888098341151e-01,1.000000000000e+00,5.399618928576e-02,-3.566311209777e-02
16,2.034480300344e+01,7,9.911508825285e-01,1.000000000000e+00,4.513621888682e-02,-3.064530482284e-02
17,1.975822311697e+01,6,9.927298750430e-01,1.000000000000e+00,3.957463899905e-02,-2.326153647346e-02
18,1.836959764389e+01,4,9.934752241995e-01,1.000000000000e+00,3.416908832718e-02,6.890295834538e-03
19,2.207738438291e+01,7,9.944267793020e-01,8.000000000000e-01,3.451342527232e-02,2.062121661834e-02
20,2.532429052925e+01,13,9.865843838762e-01,1.000000000000e+00,5.669485461624e-02,-3.354535651173e-02
21,2.227208967188e+01,8,9.898385204567e-01,1.000000000000e+00,4.823782398779e-02,-2.937180292066e-02
22,2.229337090738e+01,8,9.893531304846e-01,8.000000000000e-01,4.458250473114e-02,-8.415140653874e-04
23,2.277223906718e+01,8,9.919978204523e-01,8.000000000000e-01,3.859127136614e-02,1.340165629269e-02
24,2.268521599750e+01,6,9.889671806582e-01,8.000000000000e-01,4.480622636640e-02,-4.913016608239e-03
25,2.208872115850e+01,6,9.918833731909e-01,1.000000000000e+00,4.171357631400e-02,1.123618658767e-02
26,2.179889210560e+01,7,9.928123800531e-01,1.000000000000e+00,3.724380779774e-02,1.789177483641e-03
27,2.141697091514e+01,6,9.948969550083e-01,1.000000000000e+00,3.021496597238e-02,-6.973732341669e-03
28,2.119654135883e+01,8,9.897483244712e-01,8.000000000000e-01,6.691641421997e-02,5.952395294235e-02
29,2.037543135554e+01,6,9.926791087639e-01,8.000000000000e-01,3.750657633548e-02,1.029754649580e-02
30,2.357482370842e+01,7,9.888272809719e-01,1.000000000000e+00,4.929282909325e-02,-1.604492213542e-02
31,2.358378500697e+01,8,9.853856915841e-01,1.000000000000e+00,6.489626227775e-02,-4.455633807756e-02
32,2.273088261183e+01,8,9.818396227416e-01,1.000000000000e+00,5.460019400599e-02,4.706684360069e-03
33,2.393958063124e+01,11,9.888875898493e-01,1.000000000000e+00,4.384042009015e-02,-8.518588175039e-04
34,2.099419860371e+01,8,9.882843500833e-01,6.000000000000e-01,5.236271197329e-02,2.628349451860e-02
35,2.275584995604e+01,10,9.908312103604e-01,1.000000000000e+00,5.726101318719e-02,5.062487872547e-02
36,2.365370917517e+01,10,9.834322581052e-01,1.000000000000e+00,5.305878671935e-02,-1.599067364768e-02
37,2.138190689278e+01,6,9.938871213092e-01,1.000000000000e+00,3.201989918572e-02,-5.390178196478e-03
38,2.479732005963e+01,12,9.862712735091e-01,8.000000000000e-01,6.692134027402e-02,5.288985176466e-02
39,2.157814609234e+01,6,9.931714867265e-01,1.000000000000e+00,3.965973049414e-02,-2.038797786871e-02
40,2.067555771565e+01,5,9.944874080754e-01,8.000000000000e-01,3.575792792263e-02,2.023926126498e-02
41,2.343428042499e+01,10,9.886229225508e-01,8.000000000000e-01,4.389750489722e-02,5.058336659695e-03
42,2.255302834233e+01,8,9.898999255117e-01,8.000000000000e-01,6.267863969768e-02,5.509813984845e-02
43,2.012311081182e+01,4,9.918471277228e-01,8.000000000000e-01,4.261587259834e-02,-2.888615716080e-02
44,2.127462496519e+01,6,9.920211757880e-01,1.000000000000e+00,5.242776334392e-02,-3.586936286866e-02
45,2.219633773363e+01,8,9.863371938491e-01,1.000000000000e+00,5.083958109164e-02,-3.969702384189e-03
46,2.188027745170e+01,7,9.889206816884e-01,1.000000000000e+00,4.416596586903e-02,-1.011401519771e-02
47,2.277105784602e+01,9,9.912825208224e-01,1.000000000000e+00,3.957359672477e-02,1.338471031904e-02
48,2.302097567621e+01,9,9.882901884957e-01,8.000000000000e-01,4.533351170481e-02,-8.342086400647e-03
49,2.169115294590e+01,6,9.905319294271e-01,1.000000000000e+00,4.600957558641e-02,-2.532380300535e-02
50,2.044202816055e+01,4,9.968718436207e-01,8.000000000000e-01,2.402086094198e-02,3.174876008575e-03
